TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 19d9f1d4e29eba6388ab9ad9a3e976c6
ERRORS:
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1314.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1317.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1322.
**** Item %ICAION for user (HYNIKS) is repeated in want list for 1769.
**** Item %TSUKUYUMI_FULL_MOON_DOWN_SECOND_EDITION____TSUKUYUMI_SUNRISE_KINGDOM___TSUKUYUMI_CHRONOMASTERS___TSUKUYUMI_SENTINELS___TSUKUYUMI_FULL_MOON_DOWN_FIREBORN_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_LORDS_OF_THE_LOST_SEA_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_SENTINELS_EXPANSION for user (HYNIKS) is repeated in want list for 1771.
**** Item 2042 is repeated in want list for 245.
**** Item 2042 is repeated in want list for 2523.
**** Item 2042 is repeated in want list for 513.
**** Item 2042 is repeated in want list for 520.
**** Item 217 is repeated in want list for 2523.
**** Item 217 is repeated in want list for 513.
**** Item 217 is repeated in want list for 520.
**** Item 2427 is repeated in want list for 2068.
**** Item 2873 is repeated in want list for 2806.
**** Item 2873 is repeated in want list for 2809.
**** Item 2873 is repeated in want list for 2815.
**** Item 2873 is repeated in want list for 2816.
**** Item 2873 is repeated in want list for 2821.
**** Item 2873 is repeated in want list for 2831.
**** Item 2934 is repeated in want list for 2379.
**** Item 2934 is repeated in want list for 2380.
**** Item 2934 is repeated in want list for 2382.
**** Item 2934 is repeated in want list for 2383.
**** Item 2934 is repeated in want list for 2384.
**** Item 2934 is repeated in want list for 2385.
**** Item 2934 is repeated in want list for 2386.
**** Item 2934 is repeated in want list for 2388.
**** Item 2934 is repeated in want list for 2392.
**** Item 2934 is repeated in want list for 2395.
**** Item 2934 is repeated in want list for 2406.
**** Item 2934 is repeated in want list for 2407.
**** Item 2934 is repeated in want list for 2410.
**** Item 2934 is repeated in want list for 2412.
**** Item 2934 is repeated in want list for 2414.
**** Item 2934 is repeated in want list for 2415.
**** Item 2934 is repeated in want list for 2419.
**** Item 2934 is repeated in want list for 2423.
**** Item 834 is repeated in want list for 2042.
**** Item 96 is repeated in want list for 2074.
**** Unknown item %7_WONDERS_DUEL for user (PIOTREKPIOTREK) (1 occurrence)
**** Unknown item %HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_CRISIS_CONTROL_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HISTORICAL_EVENTS for user (YAVI) (4 occurrences)
**** Unknown item %HIGH_FRONTIER_4_ALL for user (YAVI) (2 occurrences)
**** Unknown item %KNOCKDOWN_VOLUME_II_KNOCKDOWN_VOLUME_III for user (MEFIUG) (19 occurrences)
**** Unknown item %WAR_CHEST for user (YOSEK) (1 occurrence)
**** Unknown item 1146, (1 occurrence)
**** Unknown item 12214 (1 occurrence)
**** Unknown item 12230 (1 occurrence)
**** Unknown item 1310, (1 occurrence)
**** Unknown item 1313, (4 occurrences)
**** Unknown item 1372, (4 occurrences)
**** Unknown item 1375, (3 occurrences)
**** Unknown item 1404209 (1 occurrence)
**** Unknown item 1487, (3 occurrences)
**** Unknown item 154 (1 occurrence)
**** Unknown item 155 (3 occurrences)
**** Unknown item 156 (4 occurrences)
**** Unknown item 158 (3 occurrences)
**** Unknown item 159 (1 occurrence)
**** Unknown item 160 (2 occurrences)
**** Unknown item 161 (10 occurrences)
**** Unknown item 1615, (1 occurrence)
**** Unknown item 162 (12 occurrences)
**** Unknown item 1623, (2 occurrences)
**** Unknown item 163 (36 occurrences)
**** Unknown item 1641, (2 occurrences)
**** Unknown item 1658, (4 occurrences)
**** Unknown item 1688, (2 occurrences)
**** Unknown item 1698, (1 occurrence)
**** Unknown item 1753, (1 occurrence)
**** Unknown item 1875, (3 occurrences)
**** Unknown item 1956, (4 occurrences)
**** Unknown item 2019 (10 occurrences)
**** Unknown item 204, (4 occurrences)
**** Unknown item 2043 (15 occurrences)
**** Unknown item 2046, (5 occurrences)
**** Unknown item 2069, (1 occurrence)
**** Unknown item 208, (1 occurrence)
**** Unknown item 2089 (3 occurrences)
**** Unknown item 2092 (2 occurrences)
**** Unknown item 2102, (3 occurrences)
**** Unknown item 211, (2 occurrences)
**** Unknown item 2149, (3 occurrences)
**** Unknown item 2185 (1 occurrence)
**** Unknown item 2187 (1 occurrence)
**** Unknown item 2190 (25 occurrences)
**** Unknown item 2215, (1 occurrence)
**** Unknown item 237, (3 occurrences)
**** Unknown item 2401 (55 occurrences)
**** Unknown item 2434 (1 occurrence)
**** Unknown item 244 (29 occurrences)
**** Unknown item 2440 (40 occurrences)
**** Unknown item 2448 (2 occurrences)
**** Unknown item 2457 (29 occurrences)
**** Unknown item 2459 (2 occurrences)
**** Unknown item 2479 (40 occurrences)
**** Unknown item 24992286 (1 occurrence)
**** Unknown item 266, (1 occurrence)
**** Unknown item 2713 (5 occurrences)
**** Unknown item 2715 (17 occurrences)
**** Unknown item 2730, (2 occurrences)
**** Unknown item 2748 (9 occurrences)
**** Unknown item 2765 (3 occurrences)
**** Unknown item 2947, (1 occurrence)
**** Unknown item 3066 (38 occurrences)
**** Unknown item 386, (4 occurrences)
**** Unknown item 390, (3 occurrences)
**** Unknown item 430 (12 occurrences)
**** Unknown item 560, (2 occurrences)
**** Unknown item 631 (1 occurrence)
**** Unknown item 638 (1 occurrence)
**** Unknown item 660, (4 occurrences)
**** Unknown item 681, (3 occurrences)
**** Unknown item 755, (4 occurrences)
**** Unknown item 781 (58 occurrences)
**** Unknown item 782 (56 occurrences)
**** Unknown item 844 (1 occurrence)
**** Unknown item 863, (3 occurrences)
**** Unknown item LOST_RUINS_OF_ARNAK (6 occurrences)
**** Unknown item THESAUROS (1 occurrence)

TRADE LOOPS (498 total trades):

(DOMBAS) 2298          receives (LISEK2000) 1944
(PATRYKGALKA) 293      receives (MIZIO) 2614
(MIZIO) 2614           receives (CAFFREYRLS) 2075
(CAFFREYRLS) 2075      receives (GRYZLI83) 546
(GRYZLI83) 546         receives (PTEROGROM) 1395
(PTEROGROM) 1395       receives (LIMPINGMAN) 1773
(LIMPINGMAN) 1773      receives (MANKOSLAW) 490
(MANKOSLAW) 490        receives (GRZZZ) 1858
(GRZZZ) 1858           receives (PLANSZOWIEC) 3050
(PLANSZOWIEC) 3050     receives (MACCOWY) 1788
(MACCOWY) 1788         receives (JIMMY_DURDEN) 666
(JIMMY_DURDEN) 666     receives (APIEJH) 191
(APIEJH) 191           receives (HAPPOSAI) 735
(HAPPOSAI) 735         receives (SATINO4) 1411
(SATINO4) 1411         receives (MONIIALEX) 1794
(MONIIALEX) 1794       receives (LYNX32) 2859
(LYNX32) 2859          receives (KATSEK) 1416
(KATSEK) 1416          receives (MORKRET) 3010
(MORKRET) 3010         receives (RUTRA1992) 2421
(RUTRA1992) 2421       receives (FYEI) 775
(FYEI) 775             receives (PLANSZOWIEC) 3048
(PLANSZOWIEC) 3048     receives (JAKUBWAKIEC) 665
(JAKUBWAKIEC) 665      receives (PLANSZOWIEC) 3056
(PLANSZOWIEC) 3056     receives (MANKOSLAW) 491
(MANKOSLAW) 491        receives (AMACHNO) 600
(AMACHNO) 600          receives (REKAWIAN) 1502
(REKAWIAN) 1502        receives (LISEK2000) 1909
(LISEK2000) 1909       receives (RYSKAL) 1561
(RYSKAL) 1561          receives (SVFFF) 650
(SVFFF) 650            receives (KUBAP) 3025
(KUBAP) 3025           receives (KONTRABAS) 1485
(KONTRABAS) 1485       receives (STACHUSTACH187) 1498
(STACHUSTACH187) 1498  receives (WOJCIECHS) 579
(WOJCIECHS) 579        receives (KARTMAN7) 1292
(KARTMAN7) 1292        receives (GROR) 2379
(GROR) 2379            receives (TOPBGG) 144
(TOPBGG) 144           receives (KDSZ) 620
(KDSZ) 620             receives (GOLEBIOWSKI) 134
(GOLEBIOWSKI) 134      receives (ASTRIELL88) 1664
(ASTRIELL88) 1664      receives (ANOPTICHTYS) 333
(ANOPTICHTYS) 333      receives (TH13TEEN) 348
(TH13TEEN) 348         receives (HAPPOSAI) 733
(HAPPOSAI) 733         receives (RYSKAL) 1555
(RYSKAL) 1555          receives (CHARLIEVEGAN) 2926
(CHARLIEVEGAN) 2926    receives (GROR) 2422
(GROR) 2422            receives (SYDONIAA) 1
(SYDONIAA) 1           receives (AMACHNO) 598
(AMACHNO) 598          receives (GODUNOW) 204
(GODUNOW) 204          receives (STACHU772) 521
(STACHU772) 521        receives (KEROVAN14) 233
(KEROVAN14) 233        receives (VORONWE) 1617
(VORONWE) 1617         receives (HARUN) 1830
(HARUN) 1830           receives (GARG) 2236
(GARG) 2236            receives (UNKNOWN0) 1613
(UNKNOWN0) 1613        receives (GRZECHOO104) 2717
(GRZECHOO104) 2717     receives (STACHUSTACH187) 536
(STACHUSTACH187) 536   receives (REKAWIAN) 1504
(REKAWIAN) 1504        receives (CRAZZIE) 967
(CRAZZIE) 967          receives (LISEK2000) 1914
(LISEK2000) 1914       receives (PROBBI) 1423
(PROBBI) 1423          receives (WOJCIECHS) 592
(WOJCIECHS) 592        receives (ITTAMPL) 580
(ITTAMPL) 580          receives (AMACHNO) 604
(AMACHNO) 604          receives (LYNX32) 2900
(LYNX32) 2900          receives (LOMAX1983) 394
(LOMAX1983) 394        receives (LYNX32) 2911
(LYNX32) 2911          receives (TH13TEEN) 199
(TH13TEEN) 199         receives (PANCOR) 1211
(PANCOR) 1211          receives (ZABOWSKI) 2846
(ZABOWSKI) 2846        receives (BARTXX86) 674
(BARTXX86) 674         receives (JAKUBWAKIEC) 663
(JAKUBWAKIEC) 663      receives (BISTIA) 1460
(BISTIA) 1460          receives (ASYMETRI) 1340
(ASYMETRI) 1340        receives (MANWEPL) 50
(MANWEPL) 50           receives (WOJCIECHS) 595
(WOJCIECHS) 595        receives (PIOTRSZYJKA) 1705
(PIOTRSZYJKA) 1705     receives (SVVITALEK) 2102
(SVVITALEK) 2102       receives (SCRABER) 1386
(SCRABER) 1386         receives (BADO666) 731
(BADO666) 731          receives (LOMAX1983) 396
(LOMAX1983) 396        receives (BISTIA) 1457
(BISTIA) 1457          receives (RENEG8D) 1807
(RENEG8D) 1807         receives (BARTXX86) 866
(BARTXX86) 866         receives (FIZOLOF) 784
(FIZOLOF) 784          receives (RAISTLINJEDYNY) 469
(RAISTLINJEDYNY) 469   receives (MARMILCZ) 247
(MARMILCZ) 247         receives (MARBEL) 803
(MARBEL) 803           receives (LADZIK) 2778
(LADZIK) 2778          receives (MIZIO) 2606
(MIZIO) 2606           receives (RAFAL1991) 725
(RAFAL1991) 725        receives (ANOPTICHTYS) 309
(ANOPTICHTYS) 309      receives (LUKASHI) 2318
(LUKASHI) 2318         receives (ZABOWSKI) 892
(ZABOWSKI) 892         receives (DZANOMARO) 643
(DZANOMARO) 643        receives (RUTRA1992) 2451
(RUTRA1992) 2451       receives (KLANCYG) 511
(KLANCYG) 511          receives (YNIDHOGG) 2450
(YNIDHOGG) 2450        receives (CAFFREYRLS) 2066
(CAFFREYRLS) 2066      receives (RYSKAL) 1546
(RYSKAL) 1546          receives (QRZY88) 2508
(QRZY88) 2508          receives (PANCOR) 3051
(PANCOR) 3051          receives (OSTRY) 2829
(OSTRY) 2829           receives (REKAWIAN) 1603
(REKAWIAN) 1603        receives (DZIUM8) 1693
(DZIUM8) 1693          receives (ZABOWSKI) 894
(ZABOWSKI) 894         receives (DOMBAS) 2298

(KARTMAN7) 1295        receives (VAGABOOOND) 1682
(VAGABOOOND) 1682      receives (OMAM1234) 805
(OMAM1234) 805         receives (KLANCYG) 508
(KLANCYG) 508          receives (PANCOR) 3045
(PANCOR) 3045          receives (ISKRANAPROCHY) 690
(ISKRANAPROCHY) 690    receives (MELUSINA) 173
(MELUSINA) 173         receives (UNKNOWN0) 841
(UNKNOWN0) 841         receives (ASYMETRI) 1335
(ASYMETRI) 1335        receives (SATINO4) 560
(SATINO4) 560          receives (ZABOWSKI) 875
(ZABOWSKI) 875         receives (ASYMETRI) 1342
(ASYMETRI) 1342        receives (HAWKU93) 1045
(HAWKU93) 1045         receives (ZABOWSKI) 934
(ZABOWSKI) 934         receives (SCRABER) 1405
(SCRABER) 1405         receives (LUKI364) 764
(LUKI364) 764          receives (ZERTHIN) 1744
(ZERTHIN) 1744         receives (BARTMAN71) 2530
(BARTMAN71) 2530       receives (GRYZLI83) 1528
(GRYZLI83) 1528        receives (MARSINT) 1574
(MARSINT) 1574         receives (KEROVAN14) 222
(KEROVAN14) 222        receives (KARTMAN7) 1295

(PANCOR) 1241          receives (GROR) 2400
(GROR) 2400            receives (ASYMETRI) 1332
(ASYMETRI) 1332        receives (EQUILIBRIUMPL) 368
(EQUILIBRIUMPL) 368    receives (ROSETA) 1636
(ROSETA) 1636          receives (PANCOR) 2679
(PANCOR) 2679          receives (NIWGNIP) 1524
(NIWGNIP) 1524         receives (DZIUM8) 356
(DZIUM8) 356           receives (PIOTR1) 789
(PIOTR1) 789           receives (KONTRABAS) 1489
(KONTRABAS) 1489       receives (DIBBLER) 3026
(DIBBLER) 3026         receives (CAFFREYRLS) 2047
(CAFFREYRLS) 2047      receives (MISIENCJUSZ) 435
(MISIENCJUSZ) 435      receives (PANCOR) 1241

(PANCOR) 2676          receives (MEFIUG) 1746
(MEFIUG) 1746          receives (PANCOR) 2676

(BAAKA) 629            receives (QRZY88) 2491
(QRZY88) 2491          receives (SIPIO) 2961
(SIPIO) 2961           receives (BAAKA) 629

(LYNX32) 2912          receives (ANOPTICHTYS) 310
(ANOPTICHTYS) 310      receives (LYNX32) 2912

(GARG) 2273            receives (PATRYKGALKA) 263
(PATRYKGALKA) 263      receives (WOOL_F) 2844
(WOOL_F) 2844          receives (MELUSINA) 178
(MELUSINA) 178         receives (PLANSZOWIEC) 2692
(PLANSZOWIEC) 2692     receives (FYEI) 777
(FYEI) 777             receives (CZWARTY) 453
(CZWARTY) 453          receives (ASYMETRI) 1348
(ASYMETRI) 1348        receives (PUSHEENEIRO) 1038
(PUSHEENEIRO) 1038     receives (PATRYKGALKA) 2285
(PATRYKGALKA) 2285     receives (STACHUSTACH187) 523
(STACHUSTACH187) 523   receives (REKAWIAN) 1601
(REKAWIAN) 1601        receives (BORYSX) 1640
(BORYSX) 1640          receives (CAFFREYRLS) 2045
(CAFFREYRLS) 2045      receives (BARTXX86) 868
(BARTXX86) 868         receives (VOYDEN) 2796
(VOYDEN) 2796          receives (PATRYKGALKA) 266
(PATRYKGALKA) 266      receives (YOORECK) 153
(YOORECK) 153          receives (JAKUBWAKIEC) 656
(JAKUBWAKIEC) 656      receives (BOBQ) 2163
(BOBQ) 2163            receives (GARG) 2273

(QRZY88) 2509          receives (MIZIO) 2604
(MIZIO) 2604           receives (EMGIEER) 1839
(EMGIEER) 1839         receives (YAVI) 2469
(YAVI) 2469            receives (LEINADUS) 2344
(LEINADUS) 2344        receives (PIOTREKPIOTREK) 2610
(PIOTREKPIOTREK) 2610  receives (ANDRZEYEK) 2331
(ANDRZEYEK) 2331       receives (JINGOWAWA) 1314
(JINGOWAWA) 1314       receives (WUDUPIPOL) 3044
(WUDUPIPOL) 3044       receives (TOPBGG) 1361
(TOPBGG) 1361          receives (EWAO) 591
(EWAO) 591             receives (YNIDHOGG) 2443
(YNIDHOGG) 2443        receives (LADZIK) 2784
(LADZIK) 2784          receives (ZABOWSKI) 908
(ZABOWSKI) 908         receives (GROR) 2427
(GROR) 2427            receives (ASYMETRI) 1358
(ASYMETRI) 1358        receives (GROR) 2394
(GROR) 2394            receives (HYNIKS) 1768
(HYNIKS) 1768          receives (LISEK2000) 2054
(LISEK2000) 2054       receives (GINET1) 2944
(GINET1) 2944          receives (QRZY88) 2509

(MELUSINA) 179         receives (GRZECHOO104) 2721
(GRZECHOO104) 2721     receives (KEROVAN14) 240
(KEROVAN14) 240        receives (PROBBI) 1421
(PROBBI) 1421          receives (TOPBGG) 137
(TOPBGG) 137           receives (MELUSINA) 2562
(MELUSINA) 2562        receives (LADZIK) 2764
(LADZIK) 2764          receives (GINET1) 2932
(GINET1) 2932          receives (BARTXX86) 672
(BARTXX86) 672         receives (WOOL_F) 2906
(WOOL_F) 2906          receives (MELUSINA) 179

(JINGOWAWA) 1316       receives (PAWLIK) 1449
(PAWLIK) 1449          receives (JINGOWAWA) 1316

(SWIROFF) 475          receives (MAGICPEPE) 186
(MAGICPEPE) 186        receives (SWIROFF) 475

(MARBEL) 468           receives (BADO666) 2946
(BADO666) 2946         receives (MARBEL) 468

(KEROVAN14) 221        receives (CZWARTY) 466
(CZWARTY) 466          receives (ARCANUM17) 1058
(ARCANUM17) 1058       receives (KEROVAN14) 221

ITEM SUMMARY (498 total trades):

(ADMI99) 2929                      does not trade
(ADMI99) 2930                      does not trade
(ADMI99) 30                        does not trade
(ADMI99) 31                        does not trade
(ADMI99) 32                        does not trade
(ADMI99) 33                        does not trade
(ADMI99) 34                        does not trade
(ADMI99) 35                        does not trade
(ADMI99) 36                        does not trade
(ADMI99) 37                        does not trade
(ADMI99) 38                        does not trade
(ADMI99) 39                        does not trade
(ADMI99) 40                        does not trade
(ADMI99) 41                        does not trade
(ADMI99) 42                        does not trade
(ADMI99) 43                        does not trade
(ADMI99) 44                        does not trade
(ADMI99) 953                       does not trade
(ALVARIN) 2035                     does not trade
(ALVARIN) 2036                     does not trade
(ALVARIN) 2037                     does not trade
(ALVARIN) 2038                     does not trade
(ALVARIN) 2039                     does not trade
(ALVARIN) 2040                     does not trade
(AMACHNO) 597                      does not trade
(AMACHNO) 598          receives (GODUNOW) 204          and sends to (SYDONIAA) 1
(AMACHNO) 599          receives (ZABOWSKI) 933         and sends to (PANCOR) 1213
(AMACHNO) 600          receives (REKAWIAN) 1502        and sends to (MANKOSLAW) 491
(AMACHNO) 601                      does not trade
(AMACHNO) 602          receives (ITSTHISGUYAGAIN) 449  and sends to (LUKI364) 763
(AMACHNO) 603                      does not trade
(AMACHNO) 604          receives (LYNX32) 2900          and sends to (ITTAMPL) 580
(AMACHNO) 605                      does not trade
(AMACHNO) 606          receives (ISKRANAPROCHY) 691    and sends to (DZIUBELAS) 572
(AMACHNO) 607                      does not trade
(AMACHNO) 637                      does not trade
(ANAMAN) 384                       does not trade
(ANAMAN) 385                       does not trade
(ANDRZEYEK) 2311                   does not trade
(ANDRZEYEK) 2313                   does not trade
(ANDRZEYEK) 2316                   does not trade
(ANDRZEYEK) 2319                   does not trade
(ANDRZEYEK) 2321                   does not trade
(ANDRZEYEK) 2322                   does not trade
(ANDRZEYEK) 2324                   does not trade
(ANDRZEYEK) 2328                   does not trade
(ANDRZEYEK) 2330                   does not trade
(ANDRZEYEK) 2331       receives (JINGOWAWA) 1314       and sends to (PIOTREKPIOTREK) 2610
(ANDRZEYEK) 2332                   does not trade
(ANDRZEYEK) 2339                   does not trade
(ANDRZEYEK) 2340                   does not trade
(ANDRZEYEK) 2351                   does not trade
(ANOPTICHTYS) 307                  does not trade
(ANOPTICHTYS) 308                  does not trade
(ANOPTICHTYS) 309      receives (LUKASHI) 2318         and sends to (RAFAL1991) 725
(ANOPTICHTYS) 310      receives (LYNX32) 2912          and sends to (LYNX32) 2912
(ANOPTICHTYS) 311                  does not trade
(ANOPTICHTYS) 312                  does not trade
(ANOPTICHTYS) 313                  does not trade
(ANOPTICHTYS) 314                  does not trade
(ANOPTICHTYS) 315      receives (SZEWSTER) 758         and sends to (BARTXX86) 677
(ANOPTICHTYS) 316                  does not trade
(ANOPTICHTYS) 317                  does not trade
(ANOPTICHTYS) 318                  does not trade
(ANOPTICHTYS) 319                  does not trade
(ANOPTICHTYS) 320                  does not trade
(ANOPTICHTYS) 321                  does not trade
(ANOPTICHTYS) 322      receives (PANCOR) 1156          and sends to (VOYDEN) 2772
(ANOPTICHTYS) 323                  does not trade
(ANOPTICHTYS) 324                  does not trade
(ANOPTICHTYS) 325                  does not trade
(ANOPTICHTYS) 326                  does not trade
(ANOPTICHTYS) 327                  does not trade
(ANOPTICHTYS) 328                  does not trade
(ANOPTICHTYS) 329                  does not trade
(ANOPTICHTYS) 330                  does not trade
(ANOPTICHTYS) 331                  does not trade
(ANOPTICHTYS) 332                  does not trade
(ANOPTICHTYS) 333      receives (TH13TEEN) 348         and sends to (ASTRIELL88) 1664
(ANOPTICHTYS) 334                  does not trade
(ANOPTICHTYS) 335                  does not trade
(ANOPTICHTYS) 336                  does not trade
(ANOPTICHTYS) 337                  does not trade
(ANOPTICHTYS) 338                  does not trade
(ANOPTICHTYS) 339                  does not trade
(ANOPTICHTYS) 340      receives (KROMKA) 863           and sends to (SCRABER) 1399
(ANOPTICHTYS) 341                  does not trade
(ANOPTICHTYS) 342                  does not trade
(ANOPTICHTYS) 343                  does not trade
(ANOPTICHTYS) 344                  does not trade
(ANOPTICHTYS) 345                  does not trade
(APIEJH) 190                       does not trade
(APIEJH) 191           receives (HAPPOSAI) 735         and sends to (JIMMY_DURDEN) 666
(APIEJH) 192                       does not trade
(APIEJH) 193                       does not trade
(APIEJH) 194                       does not trade
(ARCANUM17) 1057                   does not trade
(ARCANUM17) 1058       receives (KEROVAN14) 221        and sends to (CZWARTY) 466
(ARCANUM17) 1059       receives (BARTJ) 2326           and sends to (GARG) 2179
(ASPENNR) 1055                     does not trade
(ASPENNR) 1056         receives (ZABOWSKI) 2841        and sends to (BOLO7) 381
(ASPENNR) 1461                     does not trade
(ASTRIELL88) 1662      receives (SVVITALEK) 2165       and sends to (PHILM78) 1825
(ASTRIELL88) 1663                  does not trade
(ASTRIELL88) 1664      receives (ANOPTICHTYS) 333      and sends to (GOLEBIOWSKI) 134
(ASTRIELL88) 1665      receives (ITSTHISGUYAGAIN) 446  and sends to (BUKIMI) 62
(ASTRIELL88) 1666                  does not trade
(ASYMETRI) 1331                    does not trade
(ASYMETRI) 1332        receives (EQUILIBRIUMPL) 368    and sends to (GROR) 2400
(ASYMETRI) 1333                    does not trade
(ASYMETRI) 1334                    does not trade
(ASYMETRI) 1335        receives (SATINO4) 560          and sends to (UNKNOWN0) 841
(ASYMETRI) 1336                    does not trade
(ASYMETRI) 1338                    does not trade
(ASYMETRI) 1339        receives (PRZMKP) 59            and sends to (PALMEREX) 2615
(ASYMETRI) 1340        receives (MANWEPL) 50           and sends to (BISTIA) 1460
(ASYMETRI) 1341                    does not trade
(ASYMETRI) 1342        receives (HAWKU93) 1045         and sends to (ZABOWSKI) 875
(ASYMETRI) 1343                    does not trade
(ASYMETRI) 1344                    does not trade
(ASYMETRI) 1345                    does not trade
(ASYMETRI) 1346                    does not trade
(ASYMETRI) 1347                    does not trade
(ASYMETRI) 1348        receives (PUSHEENEIRO) 1038     and sends to (CZWARTY) 453
(ASYMETRI) 1349        receives (DZIUM8) 1047          and sends to (BARTMAN71) 2545
(ASYMETRI) 1350                    does not trade
(ASYMETRI) 1352                    does not trade
(ASYMETRI) 1353                    does not trade
(ASYMETRI) 1354                    does not trade
(ASYMETRI) 1355                    does not trade
(ASYMETRI) 1356                    does not trade
(ASYMETRI) 1357                    does not trade
(ASYMETRI) 1358        receives (GROR) 2394            and sends to (GROR) 2427
(ASYMETRI) 1359                    does not trade
(ASYMETRI) 1360                    does not trade
(ASYMETRI) 1366                    does not trade
(ASYMETRI) 1367                    does not trade
(ATOJEST) 151                      does not trade
(ATOJEST) 152                      does not trade
(BAAKA) 1046           receives (ENDZITREBRON) 58      and sends to (RAPHAELL7) 975
(BAAKA) 1784                       does not trade
(BAAKA) 626            receives (MISIENCJUSZ) 438      and sends to (WOOL_F) 2684
(BAAKA) 627                        does not trade
(BAAKA) 629            receives (QRZY88) 2491          and sends to (SIPIO) 2961
(BAAKA) 630                        does not trade
(BAAKA) 633                        does not trade
(BAAKA) 634                        does not trade
(BAAKA) 636                        does not trade
(BADO666) 111                      does not trade
(BADO666) 114                      does not trade
(BADO666) 117                      does not trade
(BADO666) 119          receives (PLANSZOWIEC) 2677     and sends to (MANKOSLAW) 497
(BADO666) 122                      does not trade
(BADO666) 125                      does not trade
(BADO666) 2946         receives (MARBEL) 468           and sends to (MARBEL) 468
(BADO666) 2951                     does not trade
(BADO666) 728                      does not trade
(BADO666) 729          receives (PUSHEENEIRO) 1036     and sends to (PLANSZOWIEC) 2695
(BADO666) 730                      does not trade
(BADO666) 731          receives (LOMAX1983) 396        and sends to (SCRABER) 1386
(BANANEQ) 1323                     does not trade
(BANANEQ) 1324                     does not trade
(BANANEQ) 1325                     does not trade
(BANANEQ) 1326                     does not trade
(BANANEQ) 1327         receives (MAGUN071) 2546        and sends to (MS103) 1298
(BANANEQ) 1328         receives (YNIDHOGG) 2481        and sends to (REKAWIAN) 1604
(BANANEQ) 1329                     does not trade
(BANANEQ) 1330                     does not trade
(BARDOK) 594                       does not trade
(BARTJ) 2314                       does not trade
(BARTJ) 2315                       does not trade
(BARTJ) 2326           receives (WOJCIECHS) 1984       and sends to (ARCANUM17) 1059
(BARTJ) 684                        does not trade
(BARTJ) 686                        does not trade
(BARTJ) 688                        does not trade
(BARTMAN71) 2515                   does not trade
(BARTMAN71) 2518                   does not trade
(BARTMAN71) 2521                   does not trade
(BARTMAN71) 2526                   does not trade
(BARTMAN71) 2530       receives (GRYZLI83) 1528        and sends to (ZERTHIN) 1744
(BARTMAN71) 2534                   does not trade
(BARTMAN71) 2542                   does not trade
(BARTMAN71) 2545       receives (ASYMETRI) 1349        and sends to (PATRYKGALKA) 279
(BARTMAN71) 2548       receives (PATRYKGALKA) 275      and sends to (PANCOR) 2668
(BARTP) 1991                       does not trade
(BARTP) 1992                       does not trade
(BARTP) 1993                       does not trade
(BARTP) 1994                       does not trade
(BARTP) 1995                       does not trade
(BARTP) 1996                       does not trade
(BARTP) 1997                       does not trade
(BARTP) 1998                       does not trade
(BARTP) 1999                       does not trade
(BARTP) 2000                       does not trade
(BARTP) 2001                       does not trade
(BARTP) 2002                       does not trade
(BARTP) 2003                       does not trade
(BARTP) 2004                       does not trade
(BARTP) 2005                       does not trade
(BARTP) 2006                       does not trade
(BARTP) 2007                       does not trade
(BARTP) 2008                       does not trade
(BARTP) 2009                       does not trade
(BARTP) 2010                       does not trade
(BARTP) 2011                       does not trade
(BARTP) 2012                       does not trade
(BARTP) 2013                       does not trade
(BARTP) 2014                       does not trade
(BARTP) 2015                       does not trade
(BARTP) 2016                       does not trade
(BARTP) 2017                       does not trade
(BARTP) 2018                       does not trade
(BARTXX86) 669                     does not trade
(BARTXX86) 670                     does not trade
(BARTXX86) 671                     does not trade
(BARTXX86) 672         receives (WOOL_F) 2906          and sends to (GINET1) 2932
(BARTXX86) 673                     does not trade
(BARTXX86) 674         receives (JAKUBWAKIEC) 663      and sends to (ZABOWSKI) 2846
(BARTXX86) 675         receives (QBALDUS1) 1427        and sends to (GROR) 2405
(BARTXX86) 676                     does not trade
(BARTXX86) 677         receives (ANOPTICHTYS) 315      and sends to (PLANSZOWIEC) 2694
(BARTXX86) 678                     does not trade
(BARTXX86) 679                     does not trade
(BARTXX86) 680                     does not trade
(BARTXX86) 681         receives (LISEK2000) 1923       and sends to (TOPBGG) 1362
(BARTXX86) 682                     does not trade
(BARTXX86) 683                     does not trade
(BARTXX86) 685                     does not trade
(BARTXX86) 687                     does not trade
(BARTXX86) 689                     does not trade
(BARTXX86) 866         receives (FIZOLOF) 784          and sends to (RENEG8D) 1807
(BARTXX86) 868         receives (VOYDEN) 2796          and sends to (CAFFREYRLS) 2045
(BIGBADSHEEP) 2418                 does not trade
(BIGBADSHEEP) 2446                 does not trade
